Id.x,SpsCode,DBH,StreetName,City
38053,ALRH,1,Hicks Canyon Bike Trail,Irvine
13761,ALRH,1,Hoeptner Park,Irvine
47226,ALRH,2,Turtle Rock Community Park,Irvine
3766,ALRH,1,Riparian Corridor,Irvine
22945,ALRH,3,Btwn. Deerfield Ave. and Irvine Center Dr.,Irvine
467,ALRH,1,Riparian Corridor,Irvine
3033,ALRH,1,Riparian Corridor,Irvine
195,ALRH,1,Riparian Corridor,Irvine
49770,ALRH,1,Bren Park,Irvine
35433,ALRH,1,Hicks Canyon Bike Trail,Irvine
54279,ALRH,1,Valencia Park,Irvine
11026,ALRH,1,Hicks Canyon Bike Trail,Irvine
22677,ALRH,1,,Irvine
19103,ALRH,1,Venta Spur Trail - Btwn Culver And Jeffrey,Irvine
2680,ALRH,2,University Community Park,Irvine
41042,ALRH,1,,Irvine
9272,ALRH,1,Hicks Canyon Greenbelt,Irvine
60828,ALRH,1,Silkwood Park,Irvine
22589,ALRH,1,,Irvine
23284,ALRH,1,,Irvine
58796,ALRH,1,Nature center,Irvine
19265,ALRH,1,Venta Spur Trail - Btwn Culver And Jeffrey,Irvine
31227,ALRH,3,Windrow Community Park,Irvine
35190,ALRH,1,Hicks Canyon Bike Trail,Irvine
901,ALRH,1,Riparian Corridor,Irvine
11030,ALRH,1,Hicks Canyon Bike Trail,Irvine
506,ALRH,1,Riparian Corridor,Irvine
18788,ALRH,2,Venta Spur Trail - Btwn Culver And Jeffrey,Irvine
42485,ALRH,1,Sycamore Park,Irvine
35148,ALRH,1,Hicks Canyon Bike Trail,Irvine
60841,ALRH,3,Turtle Rock Community Park,Irvine
2439,ALRH,1,Riparian Corridor,Irvine
3342,ALRH,2,Turtle Rock Community Park,Irvine
4433,ALRH,1,Riparian Corridor,Irvine
11039,ALRH,1,Hicks Canyon Bike Trail,Irvine
8065,ALRH,1,Hicks Canyon Bike Trail,Irvine
53081,ALRH,1,Valencia Park,Irvine
56420,ALRH,1,Heritage Community Park,Irvine
22034,ALRH,1,Silkwood Park,Irvine
